coef,variable,p,c,se,ci
-0.051599788,Intercept,p<0.05,red,0.00948,0.0185808
-0.005754391,HI Temp,p<0.05,red,0.00052,0.0010192
0.004678256,Temp Diff.,p<0.05,green,0.00051,0.0009996
-0.000346869,Precip. Heat,p<0.05,red,0.00005,0.000098
0.0004883,Precip. Control,p<0.05,green,0.00004,0.0000784
0.005265925,Heatwave Dur.,p>=0.05,green,0.00325,0.00637
-0.009208835,Stage,p<0.05,red,0.00382,0.0074872
0.035084257,Weekend,p<0.05,green,0.00234,0.0045864
0.001191568,Popdens.,p>=0.05,red,0.00104,0.0020384
0.001669954,HDI,p>=0.05,green,0.00102,0.0019992
0.002339902,Over 60,p<0.05,green,0.0008,0.001568
0.006962438,Coast,p>=0.05,green,0.00625,0.01225
0.002893666,Elev > 1500m,p>=0.05,green,0.00893,0.0175028